NODE,AkcanSa,Al Sabaa Chekka Cement Plant,Alicante,Ancona,Ashdod,Augusta,Banghazi,Botas,Bur Sa'id,Casalborsetti,Civitavecchia,Crotone,Darnah,Egyptian LNG Terminal,Fos,FÁBRICA DE CARBONERAS (LAFARGEHOLCIM ESPAÑA SAU),Genova,"HERACLES G.C.Co, VOLOS PLANT",Isdemir Payas steel plant,Izmir,Kavala,Khoms,Koromacno,Kusadasi,Libyan Iron and Steel Misrata plant,Malaga,Megara Oil Terminal,Mersin,Monfalcone,Napoli,Nemrut Limani Bay,Palma De Mallorca,Port-La-Nouvelle,Porto Di Barletta,Porto Di Lido-Venezia,Porto Di Palermo,Porto Romano,Pozzallo,Sagunto,Sibenik,TITAN CEMENT S.A. - DREPANO PLANT,Taranto,Tarragona,Tartus,Tasucu,Thessaloniki,Toulon,Trieste,"VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD, Vassilikos Plant"
AkcanSa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.4878,1645.5626,0.0,1070.4325,0.0,1084.1228,0.0,0.0,0.0,0.0,0.0,0.0,248.1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1423.977,0.0,0.0,2502.0521,0.0,0.0,0.0,0.0,0.0,0.0
Al Sabaa Chekka Cement Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.9614,2468.5341,0.0,1893.404,0.0,733.2013,0.0,0.0,0.0,0.0,0.0,0.0,1404.9413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246.9485,0.0,0.0,3246.0656,0.0,0.0,0.0,0.0,0.0,0.0
Alicante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3153.9111,2640.7689,0.0,1740.9608,0.0,2987.8571,0.0,0.0,0.0,0.0,0.0,0.0,2729.3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2419.1833,0.0,0.0,386.7074,0.0,0.0,0.0,0.0,0.0,0.0
Ancona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2244.6967,177.3714,0.0,817.7123,0.0,2119.5716,0.0,0.0,0.0,0.0,0.0,0.0,1632.1276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.8568,0.0,0.0,2400.0329,0.0,0.0,0.0,0.0,0.0,0.0
Ashdod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.1171,2472.1729,0.0,1897.0428,0.0,486.5961,0.0,0.0,0.0,0.0,0.0,0.0,1434.2541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.5872,0.0,0.0,3194.2043,0.0,0.0,0.0,0.0,0.0,0.0
Augusta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1729.2979,1201.1557,0.0,301.3476,0.0,1572.6708,0.0,0.0,0.0,0.0,0.0,0.0,1283.7579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.57,0.0,0.0,1430.2061,0.0,0.0,0.0,0.0,0.0,0.0
Banghazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.7798,1805.8606,0.0,1126.0065,0.0,1092.3638,0.0,0.0,0.0,0.0,0.0,0.0,1211.5598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.2749,0.0,0.0,2090.213,0.0,0.0,0.0,0.0,0.0,0.0
Botas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.764,2458.7728,0.0,1883.6426,0.0,888.6479,0.0,0.0,0.0,0.0,0.0,0.0,1395.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2237.1871,0.0,0.0,3265.3922,0.0,0.0,0.0,0.0,0.0,0.0
Bur Sa'id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casalborsetti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
