plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,emission_cmf_type,plume_bounds,instrument,mission_phase,published_at,modified,emission_version,processing_software,gsd,sensitivity_mode,off_nadir,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,con_tif,rgb_tif,rgb_png
tan20251217t091812c62s4001-A,32.216118980693906,36.20134945969056,2025-12-17T09:18:12+00,Other,CO2,mfal,"[36.18305632972456, 32.199353318541014, 36.220039266452375, 32.23064286638303]",tan,production,2026-01-16 09:19:10.565283+00:00,2026-01-16 09:19:10.563652+00:00,v3b,3.43.2,35.14524697381797,maximum_sensitivity,18.25640362105473,147166.38063265092,90549.4702402629,2.388888888888889,1.2529799869657239,31.66772105683653,3.4000945449399147,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3b/2025/12/17/tan20251217t091812c62s4001-A/tan20251217t091812c62s4001-A_l3a-vis-co2-mfa-v3b_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3b/2025/12/17/tan20251217t091812c62s4001-A/tan20251217t091812c62s4001-A_l3a-vis-co2-mfa-v3b_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3b/2025/12/17/tan20251217t091812c62s4001-A/tan20251217t091812c62s4001-A_l3a-ime-co2-mfal-v3b_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3b/2025/12/17/tan20251217t091812c62s4001-A/tan20251217t091812c62s4001-A_l3a-vis-co2-mfa-v3b_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3b/2025/12/17/tan20251217t091812c62s4001-A/tan20251217t091812c62s4001-A_l3a-vis-co2-mfa-v3b_rgb.png
tan20251202t112800c21s4001-A,34.9814368998741,5.715869181408834,2025-12-02T11:28:00+00,Other,CO2,mfal,"[5.700575208532911, 34.96444192269892, 5.73841254755318, 34.99571358313928]",tan,production,2026-01-01 12:19:09.602562+00:00,2026-01-01 12:19:09.601488+00:00,v3a,3.41.4,34.04802962749363,standard_sensitivity,13.07517157134882,,,3.824074074074074,0.8846348824071247,296.70495327058325,12.509403755030794,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/02/tan20251202t112800c21s4001-A/tan20251202t112800c21s4001-A_l3a-vis-co2-mfa-v3a_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/02/tan20251202t112800c21s4001-A/tan20251202t112800c21s4001-A_l3a-vis-co2-mfa-v3a_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3a/2025/12/02/tan20251202t112800c21s4001-A/tan20251202t112800c21s4001-A_l3a-ime-co2-mfal-v3a_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/02/tan20251202t112800c21s4001-A/tan20251202t112800c21s4001-A_l3a-vis-co2-mfa-v3a_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/02/tan20251202t112800c21s4001-A/tan20251202t112800c21s4001-A_l3a-vis-co2-mfa-v3a_rgb.png
tan20251202t112800c21s4001-D,35.09591571759118,5.648783700525229,2025-12-02T11:28:00+00,Other,CO2,mfal,"[5.632625129387962, 35.0750784690664, 5.670839312560183, 35.106346952792805]",tan,production,2026-01-01 12:19:09.433955+00:00,2026-01-01 12:19:09.432638+00:00,v3a,3.41.4,34.04802962749363,standard_sensitivity,13.07517157134882,,,5.4907407407407405,0.8595665159463092,331.0003047798862,2.1604388616364156,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/02/tan20251202t112800c21s4001-D/tan20251202t112800c21s4001-D_l3a-vis-co2-mfa-v3a_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/02/tan20251202t112800c21s4001-D/tan20251202t112800c21s4001-D_l3a-vis-co2-mfa-v3a_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3a/2025/12/02/tan20251202t112800c21s4001-D/tan20251202t112800c21s4001-D_l3a-ime-co2-mfal-v3a_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/02/tan20251202t112800c21s4001-D/tan20251202t112800c21s4001-D_l3a-vis-co2-mfa-v3a_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/02/tan20251202t112800c21s4001-D/tan20251202t112800c21s4001-D_l3a-vis-co2-mfa-v3a_rgb.png
tan20251201t103339c19s4001-A,41.05892005087426,21.4852610636797,2025-12-01T10:33:39+00,Electricity Generation (1A1),CO2,mfal,"[21.462718739763655, 41.042110489793245, 21.503497288665223, 41.07258992690966]",tan,production,2025-12-31 11:19:10.262289+00:00,2025-12-31 11:19:10.261413+00:00,v3a,3.41.4,38.31696800180957,standard_sensitivity,25.66395511555867,333762.911023767,108047.49515211029,1.4444444444444444,0.2576005137637695,52.15053577806598,18.578677105463253,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/01/tan20251201t103339c19s4001-A/tan20251201t103339c19s4001-A_l3a-vis-co2-mfa-v3a_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/01/tan20251201t103339c19s4001-A/tan20251201t103339c19s4001-A_l3a-vis-co2-mfa-v3a_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3a/2025/12/01/tan20251201t103339c19s4001-A/tan20251201t103339c19s4001-A_l3a-ime-co2-mfal-v3a_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/01/tan20251201t103339c19s4001-A/tan20251201t103339c19s4001-A_l3a-vis-co2-mfa-v3a_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/12/01/tan20251201t103339c19s4001-A/tan20251201t103339c19s4001-A_l3a-vis-co2-mfa-v3a_rgb.png
tan20251126t091629c37s4001-A,28.47099287898014,36.52017677963315,2025-11-26T09:16:29+00,Electricity Generation (1A1),CO2,mfal,"[36.46998697578289, 28.452867774424938, 36.52924325223215, 28.504953605098557]",tan,production,2025-12-26 09:19:11.502862+00:00,2025-12-26 09:19:11.501214+00:00,v3a,3.41.4,36.794691926369936,standard_sensitivity,27.00766028795092,92565.16900504222,54611.12462132159,1.0185185185185184,0.5630665109448434,153.95833454250757,10.700329107786208,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/26/tan20251126t091629c37s4001-A/tan20251126t091629c37s4001-A_l3a-vis-co2-mfa-v3a_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/26/tan20251126t091629c37s4001-A/tan20251126t091629c37s4001-A_l3a-vis-co2-mfa-v3a_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3a/2025/11/26/tan20251126t091629c37s4001-A/tan20251126t091629c37s4001-A_l3a-ime-co2-mfal-v3a_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/26/tan20251126t091629c37s4001-A/tan20251126t091629c37s4001-A_l3a-vis-co2-mfa-v3a_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/26/tan20251126t091629c37s4001-A/tan20251126t091629c37s4001-A_l3a-vis-co2-mfa-v3a_rgb.png
tan20251121t092819c48s4001-A,28.92255595035695,31.079145548399367,2025-11-21T09:28:19+00,Other,CO2,mfal,"[31.049844531458675, 28.91309406368312, 31.08562261547595, 28.944137920150414]",tan,production,2025-12-21 10:19:10.731932+00:00,2025-12-21 10:19:10.730493+00:00,v3a,3.41.4,40.84612126449816,standard_sensitivity,28.55006060889179,33022.27468137355,7824.036088393376,1.2407407407407407,0.21793707955444105,63.99510674900901,5.891732376478554,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-A/tan20251121t092819c48s4001-A_l3a-vis-co2-mfa-v3a_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-A/tan20251121t092819c48s4001-A_l3a-vis-co2-mfa-v3a_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3a/2025/11/21/tan20251121t092819c48s4001-A/tan20251121t092819c48s4001-A_l3a-ime-co2-mfal-v3a_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-A/tan20251121t092819c48s4001-A_l3a-vis-co2-mfa-v3a_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-A/tan20251121t092819c48s4001-A_l3a-vis-co2-mfa-v3a_rgb.png
tan20251121t092819c48s4001-B,28.920722554433368,31.00725601000528,2025-11-21T09:28:19+00,Electricity Generation (1A1),CO2,mfal,"[30.988362233971753, 28.910034841654515, 31.023520383674303, 28.94080701224183]",tan,production,2025-12-21 10:19:11.428004+00:00,2025-12-21 10:19:11.426500+00:00,v3a,3.41.4,40.84612126449816,standard_sensitivity,28.55006060889179,214666.3254776937,54324.380797063524,1.2407407407407407,0.21793707955444105,63.99510674900901,5.891732376478554,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-B/tan20251121t092819c48s4001-B_l3a-vis-co2-mfa-v3a_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-B/tan20251121t092819c48s4001-B_l3a-vis-co2-mfa-v3a_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3a/2025/11/21/tan20251121t092819c48s4001-B/tan20251121t092819c48s4001-B_l3a-ime-co2-mfal-v3a_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-B/tan20251121t092819c48s4001-B_l3a-vis-co2-mfa-v3a_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-B/tan20251121t092819c48s4001-B_l3a-vis-co2-mfa-v3a_rgb.png
tan20251121t092819c48s4001-D,29.015716375071378,31.19867914988413,2025-11-21T09:28:19+00,Other,CO2,mfal,"[31.113324893089565, 28.991008710047605, 31.212746084825195, 29.07793541464744]",tan,production,2025-12-21 10:19:10.216981+00:00,2025-12-21 10:19:10.215454+00:00,v3a,3.41.4,40.84612126449816,standard_sensitivity,28.55006060889179,216222.44842888883,79288.52914228983,1.4074074074074072,0.17022941028565028,327.2131620173566,21.549521357352827,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-D/tan20251121t092819c48s4001-D_l3a-vis-co2-mfa-v3a_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-D/tan20251121t092819c48s4001-D_l3a-vis-co2-mfa-v3a_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3a/2025/11/21/tan20251121t092819c48s4001-D/tan20251121t092819c48s4001-D_l3a-ime-co2-mfal-v3a_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-D/tan20251121t092819c48s4001-D_l3a-vis-co2-mfa-v3a_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-D/tan20251121t092819c48s4001-D_l3a-vis-co2-mfa-v3a_rgb.png
tan20251121t092819c48s4001-E,29.018764853225903,31.200026293203535,2025-11-21T09:28:19+00,Other,CO2,mfal,"[31.113324893089565, 28.991008710047605, 31.212746084825195, 29.07793541464744]",tan,production,2025-12-21 10:19:11.515522+00:00,2025-12-21 10:19:11.514024+00:00,v3a,3.41.4,40.84612126449816,standard_sensitivity,28.55006060889179,,,1.4074074074074072,0.17022941028565028,327.2131620173566,21.549521357352827,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-E/tan20251121t092819c48s4001-E_l3a-vis-co2-mfa-v3a_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-E/tan20251121t092819c48s4001-E_l3a-vis-co2-mfa-v3a_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3a/2025/11/21/tan20251121t092819c48s4001-E/tan20251121t092819c48s4001-E_l3a-ime-co2-mfal-v3a_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-E/tan20251121t092819c48s4001-E_l3a-vis-co2-mfa-v3a_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-E/tan20251121t092819c48s4001-E_l3a-vis-co2-mfa-v3a_rgb.png
tan20251121t092819c48s4001-F,29.02094362090635,31.200901713773476,2025-11-21T09:28:19+00,Other,CO2,mfal,"[31.113324893089565, 28.991008710047605, 31.212746084825195, 29.07793541464744]",tan,production,2025-12-21 10:19:10.846730+00:00,2025-12-21 10:19:10.832954+00:00,v3a,3.41.4,40.84612126449816,standard_sensitivity,28.55006060889179,,,1.4074074074074072,0.17022941028565028,327.2131620173566,21.549521357352827,ecmwf_ifs,Tanager,Planet Labs Inc.,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-F/tan20251121t092819c48s4001-F_l3a-vis-co2-mfa-v3a_plume.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-F/tan20251121t092819c48s4001-F_l3a-vis-co2-mfa-v3a_plume.png,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-ime-co2-mfal-v3a/2025/11/21/tan20251121t092819c48s4001-F/tan20251121t092819c48s4001-F_l3a-ime-co2-mfal-v3a_ime-cmf-concentrations.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-F/tan20251121t092819c48s4001-F_l3a-vis-co2-mfa-v3a_rgb.tif,https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-co2-mfa-v3a/2025/11/21/tan20251121t092819c48s4001-F/tan20251121t092819c48s4001-F_l3a-vis-co2-mfa-v3a_rgb.png
