pollutantCode,Facility_INSPIRE_ID,parentCompanyName,nameOfFeature,countryCode,NUTSRegionSourceCode,NUTSRegionSourceName,city,pointGeometryLat,pointGeometryLon,mainActivityCode,mainActivityName,reportingYear,totalPollutantQuantityKg,methodCode,methodName,rn,emissions_tco2,geometry
CO2,CY.CAED/0060500000.FACILITY,VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD,"VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD, Vassilikos Plant",CY,CY000,Κύπρος,LARNAKA,34.7217,33.3164,3(c)(i),Installations for the production of cement clinker in rotary kilns,2023,1370000000,C,Calculated: calculation method used,1,1370000,POINT (33.3164 34.7217)
CO2,CY.CAED/0030030000.FACILITY,Electricity Authority of Cyprus,"Electricity Authority of Cyprus, Vassilikos Power Station",CY,CY000,Κύπρος,LARNAKA,34.7285,33.2898,1(c),Thermal power stations and other combustion installations,2023,1870000000,C,Calculated: calculation method used,1,1870000,POINT (33.2898 34.7285)
CO2,CY.CAED/0020020000.FACILITY,Electricity Authority of Cyprus,"Electricity Authority of Cyprus, Dhekelia Power Station",CY,CY000,Κύπρος,LARNAKA,34.9801,33.7462,1(c),Thermal power stations and other combustion installations,2023,1130000000,C,Calculated: calculation method used,1,1130000,POINT (33.7462 34.9801)
CO2,EL.CAED/100037.FACILITY,PPC S.A.,PPC S.A. SES ATHERINOLAKKOY,GR,EL432,Λασίθι,LEFKI,35.00491,26.13804,1(c),Thermal power stations and other combustion installations,2024,710000000,C,Calculated: calculation method used,1,710000,POINT (26.13804 35.00491)
CO2,EL.CAED/100020.FACILITY,PPC S.A.,PPC S.A. SES LINOPERAMATON,GR,EL431,Ηράκλειο,GAZI,35.34118,25.05117,1(c),Thermal power stations and other combustion installations,2024,446000000,C,Calculated: calculation method used,1,446000,POINT (25.05117 35.34118)
CO2,EL.CAED/100626.FACILITY,PPC S.A.,PPC S.A. SOUTHERN RHODES TPP,GR,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",KATTAVIA,35.91697,27.77893,1(c),Thermal power stations and other combustion installations,2024,271000000,C,Calculated: calculation method used,1,271000,POINT (27.77893 35.91697)
CO2,EL.CAED/100039.FACILITY,PPC S.A.,PPC S.A. SES CHANION (ex PPC S.A. SES HANION),GR,EL434,Χανιά,CHANIA,35.48812,24.03834,1(c),Thermal power stations and other combustion installations,2024,253000000,C,Calculated: calculation method used,1,253000,POINT (24.03834 35.48812)
CO2,EL.CAED/100072.FACILITY,PPC S.A.,"PPC S.A. SES MEGALOPOLIS, UNIT V",GR,EL651,"Αργολίδα, Αρκαδία",MEGALOPOLI,37.41566,22.06661,1(c),Thermal power stations and other combustion installations,2024,1091000000,C,Calculated: calculation method used,1,1091000,POINT (22.06661 37.41566)
CO2,EL.CAED/100687.FACILITY,PPC S.A.,PPC S.A. LIGNITIKI MEGALOPOLIS (SES UNIT ΙV),GR,EL651,"Αργολίδα, Αρκαδία",MEGALOPOLI,37.41566,22.06661,1(c),Thermal power stations and other combustion installations,2023,642000000,C,Calculated: calculation method used,1,642000,POINT (22.06661 37.41566)
CO2,EL.CAED/100004.FACILITY,PPC S.A.,PPC S.A. SES KERATEAS-LAYRIOY,GR,EL305,Ανατολική Αττική,KERATEA,37.74695,24.06633,1(c),Thermal power stations and other combustion installations,2024,1030000000,C,Calculated: calculation method used,1,1030000,POINT (24.06633 37.74695)
