DATA_SOURCE,COUNTRY_CODE,SOURCE_ID,GROUP,CONFIDENCE_TIER,RESERVOIR_CAT,NAME,STATUS,TYPE,lat,lon,x,y,PROJECTION,EPSG,TOTAL_CAPACITY_LOW_MT,TOTAL_CAPACITY_BASE_MT,TOTAL_CAPACITY_HIGH_MT,REMAINING_CAPACITY_MT,AVAILABLE_CAPACITY_MT,REMAINING_RATIO,PHASE1_YR,PHASE1_MTPA,PHASE2_YR,PHASE2_MTPA,PHASE3_YR,PHASE3_MTPA,PHASE4_YR,PHASE4_MTPA,TERMINAL,CURRENT_PRESSURE_MIN_BAR,CURRENT_PRESSURE_MEAN_BAR,CURRENT_PRESSURE_MAX_BAR,LIMIT_PRESSURE_MIN_BAR,LIMIT_PRESSURE_MEAN_BAR,LIMIT_PRESSURE_MAX_BAR,APPROX_DEPTH_mTVD,RESERVOIR_THICK_MIN_M,RESERVOIR_THICK_MEAN_M,RESERVOIR_THICK_MAX_M,MIN_SEAL_THICKNESS_M,REGION
EU PCI,GR,PCI_13.11,GR-1,1,1.0,Prinos,Advanced development,Saline Aquifer with hydrocarbon fields,40.8020352968049,24.4553683886739,375095.0,4826084.0,LAMBERT CONFORMAL CONIC - Project Projection,2100.0,,66.4,,,,,2026.0,1.0,2029.0,2.8,,,,,Revithousa,270.0,310.0,320.0,380.0,400.0,410.0,2400.0,,,,,
EU PCI,IT,PCI_13.5,IT-1,1,1.0,Ravenna,In operation,Depleted hydrocarbon field,44.51228,12.359599,,,,,,515.0,,,,,2024.0,0.025,2030.0,4.0,2035.0,12.0,2040.0,16.0,Ravenna,,,,,,,,,,,,
EU Innovation Fund,ES,IF_101191313,ES-1,1,1.0,TarraCO2,Early Development,Saline Aquifer,40.717,1.3583,,,,,,54.0,,,,,2030.0,2.0,,,,,,,Terragona,,,,,,,,,,,,
Report_L3,IT,,IT-2,4,3.0,Jonio,Producing,Hydrocarbon field,39.114236,17.181692,,,,32633.0,,130.0,,,,,2040.0,,,,,,,,Crotone,,,,,,,2200.0,,570.0,,1500.0,
Article_G3,HR,,HR-1,4,2.0,Klara,Drilled,Saline Aquifer,43.59609999772307,15.083679947104253,506754.31,4827017.55,UTM 33N EPSG:32633,32633.0,,38.66,,,,,,,,,,,,,,,,,,,,2200.0,,570.0,,1500.0,
Article_G3,HR,,HR-1,4,2.0,Kate,Drilled,Saline Aquifer,43.60686462359387,15.339032825382109,527360.5,4828265.5,UTM 33N EPSG:32633,32633.0,,45.3,,,,,,,,,,,,,,,,,,,,2200.0,,502.0,,1500.0,
Article_G4,HR,,HR-2,4,3.0,Dugi Otok_Miocene Sandstone,Drilled but need more data,Saline Aquifer,43.60155363112335,15.211345279439891,517057.405,4827641.525,UTM 33N EPSG:32633,32633.0,,327.075,,,,,,,,,,,,,,,293.97,,,,,2923.5,,,,,
Article_G4,HR,,HR-4,4,3.0,Structure 5,Undrilled,Saline Aquifer,43.277084117764446,15.924312866876136,575000.0,4792000.0,UTM 33N EPSG:32633,32633.0,,33.95,,,,,,,,,,,,,,,,,,160.2,,890.0,,,,,
Article_G2,EG,,EG-4,3,4.0,Amal Field (Upper Rudies),Producing,Hydrocarbon field,28.067,33.567,,,,,3.6,20.49,48.5,,,,,,,,,,,,,,,,,,,2350.0,,,,,Gulf of Suez Offshore
Report_L1,EG,,EG-3,4,4.0,West Delta Deep Marine Development Lease,Producing,Hydrocarbon field,31.9725,30.347,,,,,,221.84,,19.50999999999999,202.33,0.08794626758023796,,,,,,,,,,,,,,,,,,,,,Nile Delta Offshore
