dataset,source_id,source_name,subsector,emissions_tco2,lat,lon,Remark,Link
EEA,CY.CAED/0060500000.FACILITY,"VASSILIKO CEMENT WORKS PUBLIC COMPANY LTD, Vassilikos Plant",3(c)(i),1370000,34.7217,33.3164,,
EEA,EL.CAED/100076.FACILITY,TITAN CEMENT S.A. - KAMARI PLANT,3(c)(i),1186000,38.13018,23.52458,,
EEA,EL.CAED/100075.FACILITY,TITAN CEMENT S.A. - DREPANO PLANT,3(c)(i),552000,38.33557,21.84543,,
EEA,EL.CAED/100080.FACILITY,"HERACLES G.C.Co, VOLOS PLANT",3(c)(i),1031000,39.35171,22.9845,,
EEA,EL.CAED/100079.FACILITY,TITAN CEMENT S.A. - THESSALONIKI PLANT,3(c)(i),606000,40.6991,22.9532,,
EEA,IT.CAED/971002002.FACILITY,Ragusa Cementi,3(c),281353,36.903056,14.725278,,
EEA,IT.CAED/960112003.FACILITY,CEMENTERIA DI AUGUSTA,3(c),395619.441,37.194444,15.180555,,
EEA,IT.CAED/900402001.FACILITY,Italcementi di Isola delle Femmine,3(c),263673,38.190833,13.2503,,
EEA,IT.CAED/000342001.FACILITY,Heidelberg Materials Italia Cementi S.p.A. (ex ITALCEMENTI SPA),3(c),326434,41.7367,13.0042,,
EEA,IT.CAED/000122001.FACILITY,CEMENTERIA DI GUIDONIA,3(c),383770.349,42.0001,12.7167,,
EEA,IT.CAED/751002001.FACILITY,Italcementi di  Matera,3(c),390621,40.6753,16.6569,,
EEA,IT.CAED/850222001.FACILITY,Cementeria Costantinopoli srl,3(c),246153.96,40.9497,15.6736,,
EEA,IT.CAED/800112001.FACILITY,TERMOVALORIZZATORE DI ACERRA,5(b),393166.2671,40.9667,14.3883,,
EEA,IT.CAED/761212002.FACILITY,CEMENTERIA DI BARLETTA,3(c),326744.86,41.3167,16.2892,,
EEA,IT.CAED/030402001.FACILITY,Unità Locale 3 - Impianto di Termovalorizzazione rifiuti non pericolosi.,5(b),380667,41.4375,13.8971,,
EEA,IT.CAED/860782001.FACILITY,COLACEM S.P.A.,3(c),689345,41.4456,14.0658,,
EEA,HR.CAED/000000052.FACILITY,"TVORNICA CEMENTA ""SVETI JURAJ""",3(c)(i),544000,43.54171,16.44352,,
EEA,HR.CAED/000000050.FACILITY,Proizvodnja cementa Koromačno,3(c)(i),314000,44.96732,14.12122,,
EEA,IT.CAED/520162001.FACILITY,COLACEM S.P.A. - CEMENTERIA DI RASSINA,3(c),402310,43.6581,11.8367,,
EEA,IT.CAED/411222010.FACILITY,HERAMBIENTE S.R.L.  - IMPIANTO DI TERMOVALORIZZAZIONE RIFIUTI NON PERICOLOSI,5(b),221172.8304,44.6714,10.9439,,
EEA,IT.CAED/060242002.FACILITY,COLACEM S.P.A. - CEMENTERIA DI GHIGIANO,3(c),336074,43.2844,12.6178,,
EEA,IT.CAED/060242001.FACILITY,Stabilimento di Gubbio CEMENTERIE ALDO BARBETTI S.p.A.,3(c),482587,43.3636,12.5467,,
EEA,IT.CAED/350432003.FACILITY,BUZZI UNICEM SRL,3(c),349657.249,45.2542,11.7517,,
EEA,AT.CAED/9008391745020.FACILITY,Alpacem Zement Austria GmbH,3(c),399000,46.849889,14.533667,,
EEA,IT.CAED/341472001.FACILITY,HESTAMBIENTE S.R.L.,5(b),207266.76,45.6111,13.7994,,
EEA,IT.CAED/310402007.FACILITY,CEMENTERIA DI PEDEROBBA,3(c),332973,45.877777,11.966666,,
EEA,SI.ARSO/000000011.FACILITY,Alpacem Cement Anhovo,3(c)(i),684374,46.06865,13.628036,,
EEA,IT.CAED/330922001.FACILITY,Cementeria di Fanna,3(c),423066.01,46.1778,12.7394,,
EEA,IT.CAED/351272002.FACILITY,Impianto di Termovalorizzazione di San Lazzaro (PD),5(b),206634.7028,45.4083,11.9231,,
EEA,IT.CAED/250182006.FACILITY,UNITA' PRODUTTIVA DI MONTICHIARI,3(c),203439,45.4594,10.3316,,
EEA,IT.CAED/250862002.FACILITY,HM ITALIA CEMENTI SPA,3(c),808186,45.5153,10.3444,,
EEA,ES.CAED/001573000.FACILITY,FÁBRICA DE CARBONERAS (LAFARGEHOLCIM ESPAÑA SAU),3(c)(i),749000,36.9665,-1.9029,,
EEA,ES.CAED/001512000.FACILITY,"FÁBRICA DE CEMENTOS DE MÁLAGA (VOTORANTIM CEMENTOS ESPAÑA, S.A.)",3(c)(i),613000,36.716601,-4.326742,,
EEA,ES.CAED/002586000.FACILITY,CEMEX ESPAÑA-ALICANTE (CEMENTO BLANCO),3(c)(i),584000,38.378608,-0.541845,,
EEA,ES.CAED/000141000.FACILITY,HOLCIM ESPAÑA SAU,3(c)(i),648000,39.666318,-0.245249,,
EEA,ES.CAED/002578000.FACILITY,CEMEX ESPAÑA OPERACIONES (ALCANAR),3(c)(i),592000,40.578911,0.545266,,
